Time,Date,System Name,Longitude,Latitude,FP Height,Gnss Correction,H. Speed,Quality
1720289719810,2024-07-06,450,-67.40757959414046,52.798544166607044,594.8230342254639,5.43900000000001,2.4908561778679346,0.8988915285493579
1720289720308,2024-07-06,200,-67.40759661520815,52.79854401216937,594.9839621068396,5.43900000000001,2.3144521076081657,0.9486358629054279
1720289720808,2024-07-06,450,-67.40761303546812,52.79854428592421,594.791178756714,5.43900000000001,2.281034558758186,0.9581387981076686
1720289721310,2024-07-06,200,-67.40762890144582,52.798544147236655,594.9200047836304,5.43900000000001,2.299191353830166,0.9996771241332596
1720289721810,2024-07-06,450,-67.4076439330697,52.798543284197045,594.7547175750733,5.43900000000001,2.2561103540877507,0.9093314093692542
1720289722308,2024-07-06,200,-67.40765892480422,52.79854202655831,594.2922993621826,5.43900000000001,2.3185009760785866,0.9339145965049515
1720289722810,2024-07-06,450,-67.407674310804,52.798540155885824,594.6986708984375,5.43900000000001,2.3867312784943735,0.9244522376308909
1720289723309,2024-07-06,200,-67.40768963769523,52.79853814507029,594.201785853068,5.43900000000001,2.322478060666421,0.9368040259159108
1720289723809,2024-07-06,450,-67.40770494871873,52.79853648268363,594.1363263854981,5.43900000000001,2.183112264587186,0.9911609506615976
1720289724309,2024-07-06,200,-67.40772038931517,52.79853500189278,594.1698081932068,5.43900000000001,2.2855863273018064,0.9701996980091934
1720289724809,2024-07-06,450,-67.40773633553484,52.79853365061151,593.9132246946202,5.43900000000001,2.3168461421469937,0.9993360130809223
1720289725309,2024-07-06,200,-67.40775257598611,52.79853284850032,593.9021895751954,5.43900000000001,2.2860000709408066,0.946433733431412
1720289725810,2024-07-06,450,-67.4077692101805,52.79853205010753,593.7065492973328,5.43900000000001,2.27018786468025,0.9993908412402641
1720289726309,2024-07-06,200,-67.40778600865886,52.79853124953574,593.5950704536439,5.43900000000001,2.3067371492938116,0.9592602612013464
1720289726809,2024-07-06,450,-67.40780306560069,52.798530473939834,593.153803630829,5.43900000000001,2.3072658821782337,0.9415783064567521
1720289727311,2024-07-06,200,-67.40781979314454,52.79852951777415,592.9852602309795,5.43900000000001,2.249871747323502,0.9901184196155655
1720289727809,2024-07-06,450,-67.407835955811,52.7985285298467,592.787790599823,5.43900000000001,2.1719561886073597,0.9311039068326611
1720289728308,2024-07-06,200,-67.4078517965682,52.79852776519464,592.7483635673523,5.43900000000001,2.1649277189064113,0.9642923046079487
